,time,file,y,color,planet,last_value
221,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc3_cvisc5,[0.99999993 0.99999993 0.99999992 ... 0.13392794 0.13392613 0.13392432],orange,c,0.13392432164785673
222,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc3_cvisc6,[0.99999995 0.99999995 0.99999994 ... 0.16629758 0.16629538 0.16629317],orange,c,0.16629317230739385
223,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc3_cvisc7,[0.99999996 0.99999996 0.99999996 ... 0.20564461 0.20564196 0.2056393 ],orange,c,0.205639302924884
224,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc4_cvisc0,[0.99999943 0.99999926 0.99999908 ... 0.03689854 0.03689802 0.0368975 ],orange,c,0.036897499568987836
225,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc4_cvisc1,[0.99999959 0.99999948 0.99999937 ... 0.04594083 0.04594018 0.04593953],orange,c,0.04593953039011529
226,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc4_cvisc2,[0.9999997  0.99999963 0.99999957 ... 0.05726102 0.05726021 0.0572594 ],orange,c,0.0572594018032247
227,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc4_cvisc3,[0.99999978 0.99999974 0.9999997  ... 0.07138989 0.07138889 0.07138789],orange,c,0.07138788614920728
228,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc4_cvisc4,[0.99999984 0.99999981 0.99999979 ... 0.08895129 0.08895005 0.08894881],orange,c,0.08894880566668542
229,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc4_cvisc5,[0.99999988 0.99999987 0.99999985 ... 0.11066113 0.1106596  0.11065807],orange,c,0.11065807477102728
230,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc4_cvisc6,[0.99999991 0.99999991 0.9999999  ... 0.13731403 0.13731216 0.13731029],orange,c,0.13731029399273734
231,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc4_cvisc7,[0.99999994 0.99999993 0.99999993 ... 0.16975261 0.16975035 0.16974809],orange,c,0.16974808932899466
232,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc5_cvisc0,[0.99999912 0.99999884 0.99999856 ... 0.03201778 0.03201732 0.03201686],orange,c,0.03201686052983772
233,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc5_cvisc1,[0.99999935 0.99999919 0.99999902 ... 0.03989398 0.03989341 0.03989284],orange,c,0.039892841334719376
234,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc5_cvisc2,[0.99999953 0.99999943 0.99999932 ... 0.04973399 0.04973328 0.04973257],orange,c,0.0497325730891629
235,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc5_cvisc3,[0.99999965 0.99999959 0.99999953 ... 0.06199325 0.06199237 0.06199149],orange,c,0.06199148609302142
236,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc5_cvisc4,[0.99999975 0.99999971 0.99999967 ... 0.07720771 0.07720662 0.07720553],orange,c,0.07720553411922969
237,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc5_cvisc5,[0.99999982 0.99999979 0.99999977 ... 0.09599454 0.0959932  0.09599186],orange,c,0.09599186173112215
238,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc5_cvisc6,[0.99999987 0.99999985 0.99999984 ... 0.11904381 0.11904217 0.11904052],orange,c,0.1190405238269296
239,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc5_cvisc7,[0.9999999  0.99999989 0.99999989 ... 0.14709879 0.1470968  0.1470948 ],orange,c,0.14709480404177575
